P,1,<,:,M,A,T,b,3,*,V,T,C,E,c,:,$,Y,&,#,P,Y,8,#,f,*,y,T,e,^,C,J,I,I,e,e,r,Y,X,o,z,W,v,1,L,v,",",E,Z,A,Q,9,q,D,I,K,g,.,o,R,V,%,%,2,8,G,w,",",C,l,",",o,:,9,Z,#,T,B,",",W,t,q,c,n,p,2,G,A,6,{,R,v,L,q,j,m,T,:,V,3
u,g,^,R,*,;,>,s,y,D,o,V,J,r,@,I,3,},J,m,2,I,n,C,1,X,?,(,3,Y,o,k,g,W,3,:,8,k,u,m,i,0,m,c,h,b,O,3,3,},Y,.,],X,y,a,{,T,.,",",e,O,<,r,X,V,6,X,P,B,$,v,6,;,V,B,],w,(,*,f,T,*,>,2,",",R,U,x,z,>,5,.,f,&,1,3,3,F,I
i,5,#,o,p,E,A,f,},p,5,},I,6,n,^,K,[,s,L,*,M,8,4,L,[,d,R,w,{,2,d,P,*,0,W,I,R,H,t,5,y,4,e,r,[,5,P,J,M,{,7,L,W,.,f,U,;,k,8,C,p,y,:,!,K,q,^,*,<,(,e,[,x,9,O,O,5,e,c,Y,Z,O,{,[,z,Q,3,Z,%,q,k,Y,M,7,6,>,P,C,u
),P,a,g,e,B,4,!,Q,1,G,6,7,k,N,*,",",a,B,o,n,R,u,X,y,",",v,k,o,b,E,0,d,Z,{,2,I,u,_,v,J,R,n,N,S,N,U,h,^,A,^,J,_,?,L,e,G,K,o,b,0,N,q,<,P,",",x,%,M,E,n,w,o,a,z,6,Z,g,?,X,E,@,Q,K,r,r,t,A,u,{,E,@,_,R,r,C,L,4,F,*
O,x,m,d,),",",g,),7,3,C,e,T,<,_,N,<,>,B,l,D,y,N,i,W,#,",",h,$,@,p,{,R,],9,z,Q,F,*,7,.,y,d,W,u,Z,*,Y,3,_,r,V,n,x,4,[,H,&,B,b,D,c,8,v,@,L,u,%,a,j,w,F,@,U,%,[,N,e,g,7,1,Q,s,h,;,t,K,3,[,@,D,j,B,w,h,_,k,I,w,K
;,6,r,V,O,P,z,t,f,?,X,g,O,_,I,],E,O,6,n,X,?,&,t,{,@,",",B,@,T,",",1,R,(,.,B,y,{,r,],z,E,>,i,7,[,o,),R,L,r,O,V,6,0,S,x,S,t,B,X,z,<,9,4,s,>,{,H,b,J,0,N,_,h,^,^,),D,n,^,S,G,1,h,q,#,h,g,>,G,F,2,S,X,a,q,j,1,%
0,d,O,M,n,Z,V,b,I,N,$,B,q,!,K,Y,g,0,c,$,F,U,j,c,Z,V,_,x,<,h,[,F,{,l,^,F,q,K,s,J,&,_,R,H,i,H,h,u,j,w,L,_,u,n,C,r,!,D,Y,n,B,r,*,),1,{,&,N,C,&,H,",",!,_,L,>,V,F,[,3,x,V,_,%,A,r,3,X,E,>,U,O,7,j,_,L,V,2,u,3
J,R,L,9,l,S,X,;,c,j,k,A,*,H,3,A,2,W,%,N,;,c,F,l,w,B,F,N,!,F,c,7,v,(,@,G,[,:,K,x,d,8,s,<,S,L,.,s,d,_,s,S,v,B,s,L,K,0,j,C,P,y,A,M,n,e,5,_,y,l,I,X,Z,z,A,;,J,k,V,:,q,Q,R,w,f,.,B,q,1,J,N,x,;,N,;,^,v,1,N,_
;,1,},%,s,#,&,1,<,8,*,J,O,^,j,M,G,7,C,(,@,",",2,^,@,k,%,k,},:,k,p,g,C,M,*,.,^,w,H,E,u,_,%,C,N,R,r,%,R,b,!,H,1,m,>,P,A,g,8,A,k,?,w,m,],Y,$,z,2,Z,n,z,r,$,b,q,%,F,.,O,3,b,y,T,?,z,M,<,2,J,X,S,r,x,q,@,N,r,*
R,L,*,s,U,K,@,I,1,f,),),Y,d,G,J,P,r,w,@,Q,%,j,&,<,c,c,O,P,k,O,e,e,j,g,W,5,X,*,y,#,g,v,U,g,q,s,[,y,M,(,9,^,A,S,$,k,x,&,.,&,>,p,w,y,Q,z,x,$,;,A,I,E,@,>,h,6,A,h,j,u,c,g,L,o,H,S,?,$,I,G,m,T,e,h,y,0,?,u,(
:,K,m,L,A,E,H,],<,O,f,A,o,w,l,t,k,%,9,&,Z,X,X,W,),_,$,^,:,B,;,q,g,v,W,:,v,Z,W,O,N,",",h,Q,z,S,E,:,i,j,t,},X,^,E,(,T,f,x,U,o,),$,w,N,I,[,],!,3,Y,(,Z,!,1,Q,h,?,v,_,C,k,E,M,3,N,Z,w,h,8,C,;,R,i,q,1,$,U,R,f
<,s,b,R,c,(,Q,9,_,[,6,V,6,C,7,?,k,9,m,",",@,d,:,$,%,o,k,t,L,a,<,P,v,K,&,E,V,T,M,f,A,u,e,S,d,2,P,1,h,s,c,P,;,{,^,B,F,9,w,5,d,e,D,8,D,R,J,3,t,&,K,3,{,},O,O,(,%,Y,g,O,9,5,S,:,P,8,(,W,R,E,F,U,>,I,I,j,9,?,:
P,},H,k,9,X,b,A,>,a,D,^,4,(,w,B,5,.,X,$,1,U,o,S,P,G,&,n,e,Q,@,{,g,h,%,:,),q,5,.,j,t,&,m,N,c,e,;,$,G,G,7,j,Y,[,p,o,B,x,$,3,t,S,I,2,5,;,F,u,M,],x,P,q,C,%,T,;,N,9,F,?,;,T,f,G,4,K,8,7,3,(,1,},%,n,l,J,>,_
:,:,),I,z,k,g,H,K,g,3,g,I,K,h,7,(,O,",",<,A,P,a,V,",",2,N,1,Q,[,Y,&,W,9,P,p,4,Y,M,:,J,Q,C,Q,c,{,f,;,6,u,&,8,U,l,G,;,I,f,$,:,N,u,z,2,j,F,U,P,Z,S,U,5,d,y,l,v,},<,D,q,l,;,q,t,3,K,J,d,e,n,u,%,!,m,%,>,%,L,c,y
>,a,i,),%,0,d,Q,Z,#,{,d,c,g,L,g,u,R,u,D,a,3,K,h,K,V,h,N,H,G,J,A,:,0,Y,u,O,M,Z,F,W,*,*,X,t,0,q,w,@,g,9,;,1,8,{,X,M,4,8,&,:,G,c,e,],r,J,2,",",9,6,_,m,:,i,e,L,E,",",},8,^,1,6,#,Z,0,V,I,I,x,R,%,2,>,],W,2,q,3
I,U,a,],M,3,W,$,$,E,V,j,4,i,<,K,u,e,F,X,a,3,3,^,e,g,t,[,},5,<,s,d,2,m,D,n,Q,4,P,9,?,Z,S,2,g,@,W,T,a,7,*,k,o,y,H,(,!,D,s,A,w,(,F,",",[,a,7,g,c,t,h,U,?,D,j,o,O,:,q,Z,x,e,U,^,a,",",I,_,X,T,m,O,b,Y,d,_,Z,[,U
p,A,l,&,<,^,0,A,U,T,q,b,0,S,N,6,k,m,[,S,I,2,a,v,D,d,%,5,a,D,4,q,#,7,M,d,b,N,V,F,d,v,y,],<,7,#,U,T,^,O,[,!,{,6,K,Q,>,T,F,5,l,R,@,2,",",w,Z,V,B,&,I,Z,Z,M,d,0,x,%,k,Y,M,x,R,n,O,<,x,:,T,h,x,",",},t,2,b,9,C,>
H,V,z,@,4,p,A,(,D,T,z,A,a,!,p,.,E,L,X,B,Q,i,b,n,*,e,H,s,n,C,B,<,#,0,Q,V,P,c,b,.,W,k,L,<,I,%,w,L,6,N,J,k,x,E,?,G,{,t,),Q,o,(,L,2,o,9,q,j,d,&,",",M,S,P,x,(,^,],t,S,?,i,E,z,T,U,A,J,1,d,$,k,$,I,w,q,i,E,B,W
%,P,",",D,q,F,O,N,&,Q,K,P,Q,0,N,y,t,!,K,v,O,E,>,^,%,&,Q,o,r,x,j,a,K,.,3,B,2,y,",",M,U,q,*,#,w,e,&,:,a,<,C,6,v,b,R,U,_,h,q,2,H,Y,?,0,B,C,W,o,i,d,E,K,f,V,C,2,T,d,g,6,5,e,8,L,@,E,<,P,v,7,q,N,6,*,r,!,q,<,q,u
4,x,h,l,0,v,),[,{,*,?,N,C,k,u,],.,<,F,q,l,K,A,G,o,4,O,[,n,c,f,7,2,e,),},i,e,9,I,M,.,@,@,m,n,",",t,_,%,t,#,Q,i,R,v,%,I,p,h,P,u,t,5,:,%,P,<,u,f,p,],B,V,d,s,d,.,d,L,F,5,i,D,;,t,u,$,0,g,D,T,>,j,W,1,t,f,B,w
z,",",L,f,],V,R,J,3,Q,?,@,w,:,%,S,*,},(,},i,.,X,},d,[,_,6,p,(,C,c,;,$,:,4,I,W,a,O,?,(,x,>,[,1,h,(,t,l,l,E,d,@,r,.,8,0,P,v,r,!,2,>,X,q,6,),c,p,u,J,],6,n,X,s,x,&,d,{,y,e,D,F,{,9,",",},o,<,M,T,&,},a,7,9,^,C
z,},K,u,C,q,8,O,],S,_,w,x,H,&,1,D,6,v,H,M,Z,1,&,{,%,l,6,2,c,*,L,;,>,l,h,R,R,m,Y,f,x,q,!,B,p,g,A,n,r,z,^,6,},S,],o,7,I,6,7,f,r,0,s,P,b,w,A,>,F,F,g,z,N,X,{,$,D,C,o,p,o,g,y,),j,!,e,&,W,n,w,D,0,b,],v,m,E
[,_,r,{,P,T,J,?,z,l,U,S,Q,a,C,<,3,U,h,w,u,k,D,e,A,0,A,r,t,T,Q,7,e,S,x,d,y,s,.,6,:,:,C,{,g,N,S,:,6,P,*,K,a,5,5,m,j,6,w,T,c,],I,T,T,},n,>,j,U,o,I,p,d,>,Q,t,#,0,",",X,{,X,#,M,u,_,^,k,$,{,V,@,a,@,0,P,s,I,y
t,",",W,P,z,J,f,},H,1,J,f,r,M,Y,(,X,t,E,],6,},n,9,A,j,a,t,e,R,E,I,W,[,3,_,j,y,G,),Z,X,c,u,k,D,L,Z,j,{,c,z,?,m,:,E,u,z,D,%,f,S,p,D,D,@,[,8,2,),M,C,z,C,G,K,E,v,<,6,:,?,*,G,v,k,R,A,$,r,g,b,},J,>,e,.,R,y,l
K,^,q,A,V,n,^,>,!,},E,Z,T,u,O,^,d,8,U,8,u,S,h,b,Y,^,1,k,J,7,H,W,D,X,g,0,G,q,N,K,],(,g,Z,G,h,v,_,$,#,.,%,$,%,D,?,O,W,C,K,Q,a,T,t,B,J,3,e,;,6,e,Q,;,;,I,5,V,L,U,G,8,^,),T,H,u,H,T,3,*,*,l,A,U,s,I,],",",Z,p
y,c,%,X,(,c,j,<,$,W,",",I,T,:,j,A,T,s,u,],q,Z,H,p,U,N,V,$,p,2,9,s,&,5,s,b,n,1,F,w,s,p,N,M,a,o,Q,p,!,E,#,x,*,N,6,T,<,d,!,O,[,4,H,T,@,T,.,*,B,H,L,R,w,$,D,w,V,X,T,p,n,Z,r,y,{,y,Y,D,D,g,o,A,Z,],R,#,c,t,:,s
q,y,V,T,3,v,r,],{,@,S,8,I,),9,O,&,I,4,;,h,r,i,h,#,P,A,v,u,K,1,a,R,n,R,u,%,!,u,",",$,C,},_,A,G,b,G,Z,{,b,8,M,T,4,&,J,7,N,>,Q,w,n,$,o,*,a,V,G,N,O,c,d,G,@,u,H,6,1,S,I,2,<,A,",",t,!,p,d,5,w,$,7,b,K,d,;,Y,@,M
y,},N,f,b,r,{,*,",",l,^,_,f,I,Y,L,i,r,<,e,R,%,w,3,G,3,r,$,9,O,;,],T,g,2,i,K,8,*,$,V,l,q,%,9,v,4,X,),F,:,v,{,l,d,L,0,",",J,v,A,M,w,.,_,",",<,i,o,R,Q,t,(,O,>,4,p,2,W,b,5,x,K,l,t,H,Y,C,*,N,),@,R,Z,7,$,%,5,P,.
s,S,J,V,r,(,I,y,2,d,J,l,W,C,?,5,G,t,I,F,w,v,l,P,J,9,),#,%,k,(,V,d,D,],2,1,:,W,G,z,:,K,M,f,&,),7,",",Q,H,6,Y,p,6,G,k,7,",",p,!,w,0,o,I,[,^,[,v,n,H,N,H,S,$,},W,7,^,M,1,),o,l,C,D,D,!,A,%,t,Y,},P,x,q,I,M,V,u
m,(,G,E,N,D,(,B,2,0,_,c,V,O,&,f,$,n,E,Z,D,0,},%,L,x,U,4,),7,0,.,D,G,^,R,Y,!,0,5,k,C,X,s,{,>,d,j,i,l,!,#,v,},3,e,(,#,J,T,j,a,W,G,b,[,j,I,4,>,>,[,b,F,^,Z,6,c,},x,Y,$,(,#,D,r,x,C,i,u,p,:,w,1,z,c,v,u,_,v
X,j,K,&,X,W,y,H,&,d,c,?,.,#,g,*,w,s,W,%,$,4,3,a,i,G,u,q,A,L,A,C,$,.,8,2,N,5,i,q,!,c,P,0,9,[,1,},j,x,c,},_,7,>,S,Q,F,k,#,&,?,L,$,R,8,S,F,R,r,$,f,5,2,W,<,P,(,h,7,t,h,P,6,>,H,n,U,t,N,P,d,K,b,D,q,y,l,M,S
X,9,T,@,],H,t,a,5,W,$,d,b,5,Z,.,X,m,l,z,f,E,j,2,X,A,Y,S,.,n,d,;,Q,N,.,>,I,u,d,N,},u,@,J,",",Z,e,z,z,B,o,i,Z,0,n,O,(,b,0,V,e,l,3,C,S,n,p,;,{,Q,c,y,},x,?,a,C,i,3,a,@,!,x,a,[,m,B,E,z,Y,X,W,w,S,X,(,$,D,Y,^
X,W,2,k,j,Y,1,v,e,j,q,r,W,),0,V,m,m,6,V,p,i,X,r,D,I,c,(,&,},],},_,},8,k,T,[,],9,f,<,#,W,},6,%,t,R,m,],2,<,X,o,k,E,P,U,m,B,b,F,_,C,z,T,!,#,),n,R,m,V,f,J,V,o,.,S,u,V,7,3,@,],8,C,6,V,m,%,2,s,^,D,5,i,",",w
5,Y,3,_,{,m,],M,(,T,p,0,O,D,O,L,R,j,8,",",q,l,1,M,6,i,C,T,K,#,0,M,8,<,t,c,G,2,J,Z,I,1,2,6,@,Z,!,M,v,2,e,g,w,9,G,p,!,",",O,K,Q,e,Y,Q,0,z,W,i,5,c,D,B,P,T,g,J,*,t,k,x,d,^,i,a,$,n,&,f,@,l,2,M,8,F,k,f,A,P,h,P
Q,y,L,8,<,x,Q,S,A,4,&,W,4,>,d,9,{,1,Q,J,?,9,X,},Y,E,9,Z,b,q,l,R,#,],{,r,8,x,6,?,x,.,V,v,[,{,%,W,d,K,9,w,&,R,],6,;,a,n,E,W,b,",",},Z,S,8,X,e,8,i,F,0,x,z,B,i,$,S,0,$,e,X,s,V,v,6,[,w,S,&,J,(,@,x,_,r,J,2,f
G,y,W,s,u,>,w,V,E,B,M,@,H,V,K,3,u,w,f,H,j,@,n,a,Z,l,I,?,%,S,U,[,X,b,c,h,!,{,Q,5,N,],h,R,[,8,6,G,O,8,),D,u,U,U,F,V,O,5,T,P,j,3,z,l,c,(,9,U,U,O,M,m,Q,_,6,:,@,K,w,e,e,V,n,w,?,),_,w,$,",",2,i,C,),A,E,x,a,u
t,E,0,A,J,5,:,7,2,K,R,^,h,<,B,j,R,Q,",",4,:,&,$,A,Y,$,Z,Z,e,u,T,5,?,<,k,O,v,f,Z,4,_,a,u,",",r,7,V,8,c,M,{,a,3,P,q,:,K,L,F,#,f,L,D,U,c,",",e,H,2,2,8,{,?,.,a,@,S,J,3,H,K,U,8,Q,O,7,N,S,W,y,n,P,),},y,k,:,B,@,W
z,;,g,f,Q,t,h,k,C,(,o,W,S,5,%,),!,*,!,p,%,#,S,<,h,b,U,J,5,l,u,k,F,v,k,(,F,A,(,<,o,.,[,l,W,y,1,X,#,8,^,D,;,W,y,B,N,e,L,;,P,7,.,$,0,j,Y,t,!,>,A,$,n,$,U,&,[,$,l,Q,i,h,?,^,N,!,1,L,>,C,],y,;,R,T,K,{,V,m,O
b,m,&,r,o,5,i,P,?,r,5,&,Q,R,f,C,t,(,&,H,s,T,h,#,O,",",#,g,R,>,R,l,W,#,j,Z,I,C,&,n,l,_,L,o,7,A,m,Z,?,7,9,M,J,u,e,Q,h,],g,$,Y,U,w,z,],k,b,3,S,L,n,t,],i,L,3,w,M,k,o,F,T,R,o,.,V,c,O,",",1,%,t,!,j,E,l,B,O,F,B
%,q,t,Y,a,V,<,O,b,),9,;,a,7,T,O,H,y,R,L,",",c,R,q,t,>,a,H,M,V,;,:,z,F,Q,6,),t,8,f,w,1,S,?,[,X,W,h,l,h,<,l,c,3,K,P,5,9,q,4,#,I,M,t,q,R,M,},w,9,Y,!,:,:,n,},e,4,:,z,u,u,?,M,u,D,*,D,d,G,w,},r,9,S,Y,o,f,G,R
[,j,R,N,X,R,e,[,Z,U,!,w,k,M,M,q,f,",",n,(,$,",",u,o,2,y,},!,C,_,J,<,B,@,Y,>,T,X,>,.,",",Y,D,),M,6,6,u,M,7,(,h,C,N,_,o,s,R,y,",",z,],i,),f,Y,l,F,x,b,g,F,Y,*,?,k,x,K,;,n,0,J,Q,g,m,*,9,5,S,B,K,U,^,1,P,&,B,9,4,B
j,j,r,J,K,o,B,a,o,2,5,L,d,Q,C,#,],M,$,7,_,P,.,W,{,G,E,B,q,b,e,E,k,K,w,y,.,P,f,p,r,G,6,Z,r,R,o,6,^,u,),A,#,c,u,e,0,2,e,F,3,.,g,#,n,e,*,3,Z,L,c,z,i,^,^,y,l,W,#,2,},n,n,Q,",",c,A,n,@,d,4,5,{,a,_,a,D,H,Q,9
T,i,H,I,1,P,N,w,k,y,z,R,I,n,w,(,V,>,L,9,t,Z,],V,.,S,s,%,),c,N,P,],a,J,w,B,M,p,x,0,V,Z,f,o,*,T,$,p,O,",",D,<,;,&,P,c,z,u,O,#,u,3,",",R,e,G,p,l,V,},O,),},c,},r,D,Q,N,N,4,j,M,j,t,(,9,3,h,I,:,?,n,6,q,c,%,$,L
d,;,F,3,<,*,W,4,J,3,(,@,@,{,.,a,<,M,B,J,j,t,7,.,S,m,b,H,",",E,Q,K,U,B,&,<,Y,1,8,X,n,f,!,m,L,*,d,$,m,f,n,<,G,&,:,(,j,l,C,a,x,Y,m,S,^,H,0,?,.,Z,w,n,c,K,U,X,U,*,Q,D,j,I,?,],),W,<,r,L,a,2,D,],G,},w,0,Q,t,b
N,$,e,R,_,u,a,0,Q,C,:,n,r,$,C,J,H,a,",",u,(,3,F,V,V,Q,[,T,D,x,@,o,B,a,w,6,V,Y,!,{,D,_,l,4,9,3,*,],J,e,<,),!,b,;,j,X,%,D,f,_,&,y,3,l,c,G,<,k,m,:,t,%,c,7,h,),],o,5,E,8,B,t,l,B,k,d,F,{,y,M,u,I,G,i,),5,",",8
),",",n,:,A,[,e,*,t,Q,p,5,R,Z,5,g,b,%,O,#,!,J,:,I,*,L,z,},m,J,<,f,r,<,P,_,n,n,N,;,r,P,m,Q,3,%,d,>,v,%,X,v,t,6,!,d,F,v,*,#,@,_,.,D,<,I,_,<,N,g,j,.,[,H,),7,$,3,7,3,7,k,i,k,I,D,V,1,z,2,#,#,o,D,F,H,>,3,n,s
j,K,Y,k,m,z,t,T,P,f,{,Q,a,?,L,z,:,g,3,8,O,z,D,4,C,0,%,t,F,S,I,{,T,&,>,$,i,p,!,l,H,@,Z,6,?,:,N,d,F,:,S,&,E,1,%,?,&,q,s,J,R,},S,4,{,E,V,:,*,S,S,U,$,{,f,>,y,1,c,I,H,(,F,G,Q,R,I,),3,a,!,y,N,>,P,C,V,a,x,Q
K,*,C,$,:,X,m,h,z,},},N,C,h,#,d,3,3,w,m,7,q,),9,O,>,j,N,y,a,z,_,),*,K,u,c,;,i,_,V,_,k,],>,H,4,j,?,m,e,D,c,a,v,u,:,(,p,F,j,e,Y,],D,p,1,*,7,:,a,c,R,m,V,I,},(,5,H,A,8,Y,$,P,Q,J,J,:,i,W,^,I,;,y,e,h,D,2,>
q,N,<,},C,G,9,8,5,<,t,%,J,&,_,m,A,j,a,&,7,@,},k,Y,<,<,S,n,:,D,4,a,7,u,g,m,9,},#,O,l,t,t,7,A,G,",",q,d,b,y,5,9,M,.,B,I,J,S,q,q,j,j,R,_,5,%,N,I,a,Q,!,<,x,J,x,D,{,g,),g,5,G,.,h,1,Q,Z,_,r,V,l,e,Q,3,o,},R,P
